model,batch,seq,gamma,mode,mean_ms,median_ms,std_ms,min_ms,max_ms,n_samples
Llama-3.1-8B-Instruct,0,0,0,target_decode,10.233995,10.229,0.07256779865760059,10.195,11.239,200
Llama-3.1-8B-Instruct,1,256,0,target_decode,10.23284375,10.231,0.03969911031922088,10.195,11.296,800
Llama-3.1-8B-Instruct,1,512,0,target_decode,10.24484,10.243,0.03371728739588445,10.208,11.094,800
Llama-3.1-8B-Instruct,1,1024,0,target_decode,10.27385875,10.26,0.0312928162502769,10.226,10.351,800
Llama-3.1-8B-Instruct,1,2048,0,target_decode,10.38138625,10.326,0.09477816566486182,10.286,10.577,800
Llama-3.1-8B-Instruct,1,4096,0,target_decode,10.406614427860697,10.512,0.17531468405875528,10.101,11.59,804
Llama-3.1-8B-Instruct,2,256,0,target_decode,10.15897549019608,10.1585,0.029329679053461247,10.062,10.272,816
Llama-3.1-8B-Instruct,2,512,0,target_decode,10.17975612745098,10.178,0.030886979196429524,10.102,10.295,816
Llama-3.1-8B-Instruct,2,1024,0,target_decode,10.248664215686274,10.211,0.07862302692012998,10.117,10.462,816
Llama-3.1-8B-Instruct,2,2048,0,target_decode,10.42064093137255,10.375,0.09308432612647428,10.296,10.639,816
Llama-3.1-8B-Instruct,2,4096,0,target_decode,10.4384375,10.5415,0.18471345014818003,10.106,11.72,816
Llama-3.1-8B-Instruct,4,256,0,target_decode,10.178672794117647,10.1775,0.03041426925423683,10.104,10.529,816
Llama-3.1-8B-Instruct,4,512,0,target_decode,10.237769607843138,10.2025,0.0790838235595819,10.115,10.923,816
Llama-3.1-8B-Instruct,4,1024,0,target_decode,10.398241421568628,10.354,0.10150160589832974,10.247,11.517,816
Llama-3.1-8B-Instruct,4,2048,0,target_decode,10.660024390243903,10.536,0.23447462773771768,10.298,12.935,820
Llama-3.1-8B-Instruct,4,4096,0,target_decode,10.728613526570049,10.958,0.34312684158744855,10.18,11.726,828
Llama-3.1-8B-Instruct,8,256,0,target_decode,10.27590318627451,10.243500000000001,0.07103785694029313,10.157,10.446,816
Llama-3.1-8B-Instruct,8,512,0,target_decode,10.426079268292684,10.388,0.11275441371152511,10.224,12.551,820
Llama-3.1-8B-Instruct,8,1024,0,target_decode,10.669214111922141,10.556,0.2090968582312278,10.241,11.055,822
