model,batch,seq,gamma,mode,mean_ms,median_ms,std_ms,min_ms,max_ms,n_samples
Qwen2.5-14B,0,0,0,target_decode,18.554178571428572,18.5535,0.010200741551726972,18.534,18.626,196
Qwen2.5-14B,1,256,0,target_decode,18.557928571428572,18.557,0.011092896948387138,18.531,18.595,784
Qwen2.5-14B,1,512,0,target_decode,18.578882653061225,18.572,0.01913617277987142,18.547,18.64,784
Qwen2.5-14B,1,1024,0,target_decode,18.644968112244896,18.609,0.06117420848622282,18.581,18.803,784
Qwen2.5-14B,1,2048,0,target_decode,18.827011479591835,18.739,0.13929870372372707,18.706,19.134,784
Qwen2.5-14B,1,4096,0,target_decode,18.853119897959182,19.027,0.27176909835733054,18.424,19.934,784
Qwen2.5-14B,2,256,0,target_decode,18.45770025510204,18.454,0.02089408185071533,18.421,18.601,784
Qwen2.5-14B,2,512,0,target_decode,18.486149234693876,18.474,0.02898432966194856,18.444,18.614,784
Qwen2.5-14B,2,1024,0,target_decode,18.59211862244898,18.525,0.1064839189324068,18.487,18.779,784
Qwen2.5-14B,2,2048,0,target_decode,18.841089285714286,18.754,0.13767308970757372,18.715,19.074,784
Qwen2.5-14B,2,4096,0,target_decode,18.864679846938774,19.039,0.27310023852605947,18.433,19.923,784
Qwen2.5-14B,4,256,0,target_decode,18.471641581632653,18.467,0.018984307710782907,18.437,18.58,784
Qwen2.5-14B,4,512,0,target_decode,18.55868112244898,18.499,0.09663467749612131,18.47,18.732,784
Qwen2.5-14B,4,1024,0,target_decode,18.78056887755102,18.708,0.11717419044973494,18.674,19.104,784
Qwen2.5-14B,4,2048,0,target_decode,19.14556505102041,18.96,0.2848533683924836,18.923,19.604,784
Qwen2.5-14B,4,4096,0,target_decode,19.251169642857143,19.562,0.4720454775446646,18.523,20.022,784
Qwen2.5-14B,8,256,0,target_decode,18.61225892857143,18.555,0.0951651279642904,18.521,18.792,784
Qwen2.5-14B,8,512,0,target_decode,18.820183673469387,18.758,0.10206151921761161,18.718,19.003,784
Qwen2.5-14B,8,1024,0,target_decode,19.150545918367346,18.975,0.2764207196217255,18.717,19.599,784
Qwen2.5-14B,8,2048,0,target_decode,19.89197831632653,19.567,0.5294720117993947,18.733,20.701,784
Qwen2.5-14B,8,4096,0,target_decode,20.253593112244896,20.67,0.6092224083105834,19.342,20.954,784
Qwen2.5-14B,16,256,0,target_decode,19.74292857142857,19.375,0.5560748477235358,19.325,20.964,784
Qwen2.5-14B,16,512,0,target_decode,20.731817602040817,20.574,0.31616109453478825,18.658,21.549,784
Qwen2.5-14B,16,1024,0,target_decode,21.464423469387754,21.155,0.6381537360346826,18.689,22.952,784
Qwen2.5-14B,16,2048,0,target_decode,22.943036989795917,22.318,1.1543145649473872,19.578,25.802,784
Qwen2.5-14B,16,4096,0,target_decode,23.023397959183672,24.625,2.2223175515482034,19.571,25.964,784
Qwen2.5-14B,24,256,0,target_decode,20.374766581632652,19.939,0.6620890988533822,19.894,21.494,784
Qwen2.5-14B,24,512,0,target_decode,21.51834693877551,21.379,0.34810688460131983,18.575,22.122,784
Qwen2.5-14B,24,1024,0,target_decode,22.25614285714286,21.957,0.6385036946420277,19.579,23.167,784
Qwen2.5-14B,24,2048,0,target_decode,23.697239795918367,23.125,1.2436939319301006,19.036,25.596,784
Qwen2.5-14B,24,4096,0,target_decode,23.74290306122449,25.416,2.2918414600375816,19.044,25.657,784
Qwen2.5-14B,32,256,0,target_decode,21.0080625,20.6645,0.5845268009411704,18.774,22.344,784
